ID,DocumentID,Type,Year,Title,Submitted By,Category
ATCM45_ip001_e.docx,0,ip,2023,Report by the CEP Observer to the XXXVII SCAR Delegates’ Meeting,France,Cooperation with other organization
ATCM45_ip002_e.docx,1,ip,2023,Report by the CCAMLR Observer to the Forty Fifth Antarctic Treaty Consultative Meeting,CCAMLR,Cooperation with other organization
ATCM45_ip003_rev1_e.docx,2,ip,2023,"Report by the United Kingdom as Depositary Government for the Convention for the Conservation of Antarctic Seals (CCAS) in Accordance with Recommendation XIII-2, Paragraph 2(d) 2021/22",United Kingdom,Operation of antarctic treaty system: Reports
ATCM45_ip004_e.docx,3,ip,2023,Report of the Depositary Government of the Antarctic Treaty and its Protocol in accordance with Recommendation XIII-2,United States,Operation of antarctic treaty system: Reports
ATCM45_ip005_e.docx,4,ip,2023,Republic of Belarus in the System of the Antarctic Treaty. Justification of the status of the Consultative Party of the Antarctic Treaty,Belarus,Operation of the antarctic treaty system: General
ATCM45_ip006_e.docx,5,ip,2023,Report by the SC-CAMLR Observer to the CEP,CCAMLR,Cooperation with other organization
ATCM45_ip007_e.docx,6,ip,2023,The Council of Managers of National Antarctic Programs (COMNAP) Annual Report 2022/23,COMNAP,Cooperation with other organization
ATCM45_ip007_e.docx,6,ip,2023,The Council of Managers of National Antarctic Programs (COMNAP) Annual Report 2022/23,COMNAP,Operation of antarctic treaty system: Reports
ATCM45_ip008_e.docx,7,ip,2023,Preliminary Survey Responses Regarding Implementation of IMO Polar Code. National Antarctic Programme vessels,COMNAP,Safety and Operations in antarctica
ATCM45_ip009_e.docx,8,ip,2023,Topic Summary: CEP Discussions on Ship Biofouling and Ballast Water Management ,"Australia, New Zealand, United Kingdom",Non-native species and quarantine
ATCM45_ip010_rev1_e.docx,9,ip,2023,The Scientific Committee on Antarctic Research Annual Report 2023 to the XLV Antarctic Treaty Consultative Meeting,SCAR,Cooperation with other organization
ATCM45_ip010_rev1_e.docx,9,ip,2023,The Scientific Committee on Antarctic Research Annual Report 2023 to the XLV Antarctic Treaty Consultative Meeting,SCAR,Operation of antarctic treaty system: Reports
ATCM45_ip011_e.docx,10,ip,2023,"Workshop “The future of Antarctic tourism: towards a strategic vision and policy program”, 8-10 March 2023, Paris - Chair’s report
","France, Netherlands",Tourism and NG activities
ATCM45_ip012_e.docx,11,ip,2023,Update on Canada’s Engagement in the Antarctic,Canada,Operation of the antarctic treaty system: General
ATCM45_ip012_e.docx,11,ip,2023,Update on Canada’s Engagement in the Antarctic,Canada,Science issues
ATCM45_ip013_e.docx,12,ip,2023,Report of the Depositary Government for the Agreement on the Conservation of Albatrosses and Petrels (ACAP),Australia,Operation of antarctic treaty system: Reports
ATCM45_ip014_e.docx,13,ip,2023,Report of the Depositary Government for the Convention on the Conservation of Antarctic Marine Living Resources (CCAMLR),Australia,Operation of antarctic treaty system: Reports
ATCM45_ip015_e.docx,14,ip,2023,"Report by the International Hydrographic Organization (IHO)
",IHO,Climate change
ATCM45_ip015_e.docx,14,ip,2023,"Report by the International Hydrographic Organization (IHO)
",IHO,Operation of antarctic treaty system: Reports
ATCM45_ip015_e.docx,14,ip,2023,"Report by the International Hydrographic Organization (IHO)
",IHO,Safety and Operations in antarctica
ATCM45_ip016_e.docx,15,ip,2023,Annual Report of the World Meteorological Organization (WMO),WMO,Cooperation with other organization
ATCM45_ip016_e.docx,15,ip,2023,Annual Report of the World Meteorological Organization (WMO),WMO,Operation of antarctic treaty system: Reports
ATCM45_ip017_e.docx,16,ip,2023,Gender Perspective and Actions in the Antarctic Scientific Expedition of the Chilean Antarctic Institute,Chile,Science issues
ATCM45_ip018_e.docx,17,ip,2023,Presence of SARS-CoV-2 in waste water in Antarctica and risk assessment.,Chile,Safety and Operations in antarctica
ATCM45_ip019_e.docx,18,ip,2023,"Intervention on the runway of the ""Teniente Marsh"" airfield of the ""Presidente Frei"" Antarctic Air Base",Chile,Safety and Operations in antarctica
ATCM45_ip020_e.docx,19,ip,2023,"Renewal of the Norwegian Troll Research Station, Dronning Maud Land",Norway,Enviromental protection general
ATCM45_ip020_e.docx,19,ip,2023,"Renewal of the Norwegian Troll Research Station, Dronning Maud Land",Norway,Safety and Operations in antarctica
ATCM45_ip021_rev1_e.docx,20,ip,2023,Report on the Deaths of Four U.S. Citizen Tourists in Three Incidents,"United States, Netherlands, Norway, Portugal",Safety and Operations in antarctica
ATCM45_ip022_e.docx,21,ip,2023,Contributions to the promotion and awareness of the care of palaeontological heritage in the Antarctic region,Argentina,Area Management and protection plans: General
ATCM45_ip023_rev1_e.docx,22,ip,2023,Need for Rapid Detection of Avian Influenza Virus in Antarctic Wildlife,Korea (ROK),Non-native species and quarantine
ATCM45_ip023_rev1_e.docx,22,ip,2023,Need for Rapid Detection of Avian Influenza Virus in Antarctic Wildlife,Korea (ROK),Safety and Operations in antarctica
